epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,184.561,1.44799,1.30391,1.50784,0.79487,0.73913,0.88098,0.63262,1.33983,1.31638,1.25931,0.0017921,0.0017921,0.0017921
44,188.936,1.49711,1.31113,1.57147,0.73102,0.82715,0.87199,0.59641,1.41703,1.2722,1.27096,0.00178715,0.00178715,0.00178715
45,193.202,1.42142,1.17125,1.48932,0.92841,0.84581,0.9435,0.64648,1.29809,1.05101,1.20963,0.0017822,0.0017822,0.0017822
46,197.591,1.49512,1.27845,1.53854,0.81124,0.65217,0.75978,0.49673,1.27144,2.14227,1.30115,0.00177725,0.00177725,0.00177725
47,201.838,1.45988,1.32436,1.51171,0.88571,0.80435,0.88088,0.65762,1.08336,1.17787,1.15703,0.0017723,0.0017723,0.0017723
48,206.287,1.45164,1.20911,1.51349,0.82829,0.83903,0.8837,0.65561,1.15994,1.13624,1.22472,0.00176735,0.00176735,0.00176735
49,210.587,1.42377,1.2083,1.47153,0.84819,0.85028,0.92327,0.68812,1.08019,0.98253,1.14356,0.0017624,0.0017624,0.0017624
50,214.973,1.40909,1.21324,1.47675,0.91475,0.84783,0.93804,0.7098,1.06626,1.25312,1.08031,0.00175745,0.00175745,0.00175745
51,219.332,1.43192,1.19186,1.47031,0.71737,0.78261,0.84974,0.5973,1.22881,1.75162,1.25389,0.0017525,0.0017525,0.0017525
52,223.631,1.44509,1.20916,1.50034,0.94962,0.81966,0.91882,0.62738,1.24036,1.55722,1.2388,0.00174755,0.00174755,0.00174755
53,227.879,1.39967,1.159,1.48046,0.85301,0.75704,0.89359,0.61374,1.2501,1.59846,1.24124,0.0017426,0.0017426,0.0017426
54,232.168,1.39875,1.08227,1.46816,0.79213,0.80435,0.84671,0.53112,1.35212,1.29317,1.29649,0.00173765,0.00173765,0.00173765
55,236.401,1.37729,1.15827,1.43806,0.85757,0.91628,0.92616,0.61186,1.34483,1.02444,1.23788,0.0017327,0.0017327,0.0017327
56,240.708,1.3161,1.1148,1.39294,0.8936,0.73044,0.88075,0.58136,1.35276,1.51129,1.30039,0.00172775,0.00172775,0.00172775
57,244.982,1.42698,1.16722,1.47592,0.95102,0.8443,0.95731,0.62391,1.37943,1.04788,1.28,0.0017228,0.0017228,0.0017228
58,249.266,1.40795,1.16793,1.46332,0.84522,0.83106,0.88739,0.56,1.36426,0.95916,1.3323,0.00171785,0.00171785,0.00171785
59,253.543,1.38673,1.13893,1.4394,0.96906,0.8913,0.97732,0.71919,1.0875,0.72948,1.09809,0.0017129,0.0017129,0.0017129
60,257.93,1.26338,1.0038,1.38229,1,0.88175,0.94007,0.69489,1.09099,0.79764,1.16361,0.00170795,0.00170795,0.00170795
61,262.191,1.32398,1.0589,1.40405,0.99856,0.86957,0.93479,0.6704,1.16584,0.7924,1.21672,0.001703,0.001703,0.001703
62,266.487,1.37628,1.11258,1.46389,0.83729,0.86957,0.92358,0.62884,1.23892,0.94021,1.2349,0.00169805,0.00169805,0.00169805
63,270.751,1.35094,1.00146,1.40531,0.97462,0.83508,0.96537,0.69142,1.15168,0.75411,1.21246,0.0016931,0.0016931,0.0016931
64,275.016,1.35215,1.11988,1.46249,0.88221,0.8913,0.94393,0.71231,1.01969,0.96213,1.08343,0.00168815,0.00168815,0.00168815
65,279.282,1.34707,1.0346,1.41658,0.70285,0.76087,0.76659,0.41072,1.54977,1.5031,1.46879,0.0016832,0.0016832,0.0016832
66,283.575,1.38474,1.11319,1.45722,0.69786,0.8913,0.85088,0.58633,1.30812,1.00331,1.19445,0.00167825,0.00167825,0.00167825
67,287.853,1.33416,1.08075,1.42388,0.66522,0.41304,0.51022,0.25839,1.84205,1.65826,1.68202,0.0016733,0.0016733,0.0016733
68,292.154,1.43894,1.15368,1.49617,0.82644,0.82609,0.85801,0.52405,1.3502,0.9824,1.20073,0.00166835,0.00166835,0.00166835
69,296.42,1.45173,1.18981,1.50681,0.85294,0.8827,0.94383,0.70015,1.13963,0.83642,1.11566,0.0016634,0.0016634,0.0016634
70,300.73,1.33182,1.07328,1.44726,0.93483,0.8913,0.96786,0.64478,1.32934,0.74744,1.18106,0.00165845,0.00165845,0.00165845
71,304.989,1.31055,1.05176,1.39263,0.86558,0.91304,0.94179,0.65705,1.20486,0.83896,1.13662,0.0016535,0.0016535,0.0016535
72,309.292,1.28606,0.96651,1.3807,0.66981,0.61752,0.71617,0.42092,1.49908,1.32682,1.46558,0.00164855,0.00164855,0.00164855
