epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,495.845,1.27374,1.41466,1.49333,0.76958,0.57143,0.64318,0.41489,1.41216,1.84881,1.47036,0.0015743,0.0015743,0.0015743
45,506.976,1.27919,1.33867,1.50021,0.85907,0.57143,0.74928,0.53384,1.00519,1.23979,1.1591,0.0015644,0.0015644,0.0015644
46,518.13,1.2292,1.35302,1.45731,0.7719,0.5974,0.76464,0.59221,0.92509,1.07208,1.12441,0.0015545,0.0015545,0.0015545
47,529.258,1.24006,1.31874,1.45628,0.75747,0.57143,0.65598,0.49926,1.1097,1.39361,1.25888,0.0015446,0.0015446,0.0015446
48,540.48,1.1408,1.16292,1.38197,0.78449,0.64935,0.73506,0.531,1.07563,1.50413,1.21502,0.0015347,0.0015347,0.0015347
49,551.542,1.19162,1.22788,1.42193,0.79634,0.64935,0.75202,0.56038,0.99981,1.23771,1.14341,0.0015248,0.0015248,0.0015248
50,562.666,1.12207,1.16859,1.3883,0.88263,0.67532,0.84054,0.64883,0.88589,0.88252,1.04117,0.0015149,0.0015149,0.0015149
51,574.786,1.12085,1.17436,1.37312,0.81308,0.67791,0.79637,0.62999,0.91331,0.93181,1.09562,0.001505,0.001505,0.001505
52,585.919,1.11964,1.12369,1.41111,0.80066,0.67816,0.78856,0.60349,0.91021,1.22102,1.12048,0.0014951,0.0014951,0.0014951
53,596.916,1.05873,1.13261,1.34406,0.88037,0.63636,0.74529,0.54899,0.99217,1.65558,1.16211,0.0014852,0.0014852,0.0014852
54,608.043,1.08128,1.1865,1.36209,0.8022,0.57143,0.70765,0.53134,0.9177,1.24947,1.06572,0.0014753,0.0014753,0.0014753
55,619.2,1.15087,1.15508,1.42152,0.85658,0.66234,0.76175,0.59222,0.96688,1.09891,1.12112,0.0014654,0.0014654,0.0014654
56,630.325,1.14877,1.15311,1.39312,0.92952,0.76623,0.8664,0.65303,0.90478,0.85559,1.09059,0.0014555,0.0014555,0.0014555
57,642.438,1.15236,1.11517,1.44053,0.81268,0.53247,0.65019,0.44876,1.16094,1.41691,1.25877,0.0014456,0.0014456,0.0014456
58,653.561,1.22207,1.34539,1.48592,0.92354,0.75325,0.8828,0.68119,0.85155,0.7957,1.02016,0.0014357,0.0014357,0.0014357
59,665.696,1.12269,1.17399,1.35771,0.85373,0.71429,0.86238,0.66182,0.86971,0.81948,1.05063,0.0014258,0.0014258,0.0014258
60,676.845,1.0641,1.03709,1.34997,0.83087,0.67532,0.74869,0.53511,1.10705,1.26344,1.28787,0.0014159,0.0014159,0.0014159
61,688.138,1.20079,1.11483,1.42084,0.8637,0.5974,0.68941,0.45702,1.15209,1.6443,1.33543,0.001406,0.001406,0.001406
62,699.355,1.1661,1.19596,1.39202,0.73368,0.62338,0.60885,0.4342,0.84428,1.34877,1.08111,0.0013961,0.0013961,0.0013961
63,710.423,1.09807,1.11497,1.36022,0.74272,0.81818,0.84938,0.68818,0.7351,0.82468,0.96757,0.0013862,0.0013862,0.0013862
64,722.589,1.02113,1.00258,1.33854,0.89901,0.57813,0.73919,0.53698,0.93644,1.1328,1.1862,0.0013763,0.0013763,0.0013763
65,733.762,1.13554,1.10969,1.40777,0.78841,0.49351,0.59931,0.42245,1.17226,1.75311,1.37106,0.0013664,0.0013664,0.0013664
66,744.877,1.03898,1.04077,1.29686,0.90799,0.76898,0.87885,0.72535,0.6872,0.81341,0.91251,0.0013565,0.0013565,0.0013565
67,756.998,1.02039,0.95672,1.34446,0.87335,0.80603,0.8932,0.71974,0.73978,0.83711,0.95606,0.0013466,0.0013466,0.0013466
