epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,469.231,0.10034,0.11461,0.56079,0.97552,0.86647,0.90582,0.84754,0.33466,0.43589,0.73607,0.0017921,0.0017921,0.0017921
44,479.939,0.10033,0.10951,0.55996,0.9966,0.82609,0.93259,0.85859,0.32591,0.34901,0.72452,0.00178715,0.00178715,0.00178715
45,490.623,0.10443,0.11347,0.56238,0.97356,0.84783,0.91654,0.85757,0.32719,0.34661,0.73085,0.0017822,0.0017822,0.0017822
46,501.268,0.10616,0.11393,0.55758,0.99777,0.82609,0.89902,0.85824,0.30229,0.38419,0.70836,0.00177725,0.00177725,0.00177725
47,511.831,0.10037,0.10942,0.56533,1,0.8247,0.8966,0.85752,0.29982,0.39761,0.70214,0.0017723,0.0017723,0.0017723
48,522.473,0.09341,0.1051,0.55701,0.99767,0.82609,0.9053,0.85382,0.31211,0.40101,0.71291,0.00176735,0.00176735,0.00176735
49,533.091,0.08992,0.10431,0.55813,0.99801,0.82609,0.88805,0.84359,0.34173,0.50598,0.72713,0.0017624,0.0017624,0.0017624
50,543.701,0.08443,0.09679,0.55576,0.99631,0.82609,0.91333,0.85969,0.3318,0.37652,0.724,0.00175745,0.00175745,0.00175745
51,554.303,0.09828,0.10556,0.56499,0.99702,0.82609,0.92021,0.87803,0.30656,0.35585,0.70936,0.0017525,0.0017525,0.0017525
52,566.067,0.09365,0.10153,0.55595,1,0.8025,0.92484,0.87779,0.336,0.40347,0.73212,0.00174755,0.00174755,0.00174755
53,577.78,0.09187,0.10232,0.55877,0.99125,0.82609,0.9142,0.87076,0.33671,0.40758,0.73008,0.0017426,0.0017426,0.0017426
54,588.407,0.0836,0.09676,0.55475,1,0.803,0.91619,0.87699,0.30501,0.41691,0.71935,0.00173765,0.00173765,0.00173765
55,599.007,0.0822,0.09606,0.55887,0.99221,0.82609,0.90401,0.86444,0.30599,0.42515,0.71012,0.0017327,0.0017327,0.0017327
56,609.606,0.07895,0.09112,0.56111,1,0.82214,0.89465,0.85953,0.30892,0.44184,0.72861,0.00172775,0.00172775,0.00172775
57,620.178,0.081,0.09237,0.55965,0.99589,0.80435,0.89467,0.85454,0.32496,0.47609,0.72515,0.0017228,0.0017228,0.0017228
58,630.834,0.08448,0.09424,0.55532,0.99683,0.80435,0.90586,0.86476,0.33516,0.44391,0.72935,0.00171785,0.00171785,0.00171785
59,641.427,0.07404,0.08622,0.55578,0.99833,0.80435,0.90603,0.86546,0.31224,0.41668,0.72063,0.0017129,0.0017129,0.0017129
60,652.05,0.07291,0.08549,0.55708,0.99803,0.80435,0.90901,0.86168,0.32086,0.44573,0.73277,0.00170795,0.00170795,0.00170795
61,662.598,0.0756,0.08886,0.55302,0.97433,0.82509,0.91512,0.86043,0.32264,0.44185,0.7239,0.001703,0.001703,0.001703
62,673.258,0.07246,0.08825,0.5573,0.97414,0.819,0.91086,0.87182,0.31947,0.49315,0.73202,0.00169805,0.00169805,0.00169805
63,683.89,0.0691,0.0821,0.55403,1,0.82485,0.91284,0.86711,0.308,0.44156,0.71596,0.0016931,0.0016931,0.0016931
64,694.504,0.07065,0.0835,0.5595,0.99793,0.80435,0.91738,0.86793,0.31476,0.45682,0.72734,0.00168815,0.00168815,0.00168815
65,705.109,0.08048,0.08979,0.5532,0.99844,0.80435,0.92326,0.876,0.32708,0.4359,0.72267,0.0016832,0.0016832,0.0016832
66,715.823,0.08276,0.09074,0.55991,1,0.81678,0.91561,0.87113,0.31601,0.45134,0.72929,0.00167825,0.00167825,0.00167825
67,726.408,0.08081,0.09194,0.55678,0.99903,0.82609,0.92849,0.87511,0.32062,0.40954,0.73721,0.0016733,0.0016733,0.0016733
68,737.075,0.07348,0.08548,0.55687,0.99893,0.82609,0.90187,0.86576,0.31183,0.42295,0.71885,0.00166835,0.00166835,0.00166835
69,747.677,0.07435,0.0858,0.55587,0.99898,0.82609,0.90978,0.86942,0.32362,0.41267,0.72921,0.0016634,0.0016634,0.0016634
70,758.311,0.07202,0.08451,0.55757,0.99832,0.80435,0.92817,0.88016,0.33115,0.47469,0.73828,0.00165845,0.00165845,0.00165845
71,769.994,0.07074,0.08677,0.5548,0.97137,0.82609,0.90421,0.86176,0.32122,0.4771,0.7289,0.0016535,0.0016535,0.0016535
72,780.671,0.07238,0.08694,0.55177,0.9972,0.80435,0.89878,0.86084,0.33522,0.49251,0.74159,0.00164855,0.00164855,0.00164855
73,791.234,0.06399,0.07993,0.55321,0.99846,0.80435,0.90223,0.86611,0.31873,0.48844,0.72858,0.0016436,0.0016436,0.0016436
74,801.89,0.06138,0.07515,0.55585,1,0.8244,0.90098,0.86536,0.32209,0.48551,0.72779,0.00163865,0.00163865,0.00163865
75,812.466,0.05838,0.07509,0.55434,0.99792,0.82609,0.90919,0.87156,0.316,0.4438,0.72608,0.0016337,0.0016337,0.0016337
76,823.089,0.05708,0.07406,0.55104,1,0.82539,0.91595,0.8718,0.31241,0.41454,0.72356,0.00162875,0.00162875,0.00162875
77,833.674,0.05335,0.07149,0.5506,1,0.82486,0.9051,0.86422,0.30839,0.40749,0.72217,0.0016238,0.0016238,0.0016238
