epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,178.933,0.11457,0.12009,0.74744,0.83254,0.78261,0.84235,0.72225,1.0124,1.23154,1.10523,0.00179705,0.00179705,0.00179705
43,183.143,0.10722,0.11936,0.74541,0.83219,0.75476,0.84237,0.71976,1.01841,1.249,1.11969,0.0017921,0.0017921,0.0017921
44,187.378,0.1077,0.11898,0.74242,0.89219,0.71739,0.85243,0.70619,0.99798,1.26181,1.111,0.00178715,0.00178715,0.00178715
45,191.693,0.09849,0.11549,0.74355,0.86778,0.73913,0.86901,0.73538,0.97454,1.16922,1.0932,0.0017822,0.0017822,0.0017822
46,195.934,0.09753,0.10813,0.7425,0.9189,0.7389,0.85314,0.74695,0.9403,1.24664,1.10657,0.00177725,0.00177725,0.00177725
47,200.125,0.09422,0.10886,0.7422,0.87205,0.74088,0.85886,0.75224,0.96522,1.23806,1.11401,0.0017723,0.0017723,0.0017723
48,204.347,0.09845,0.10952,0.74382,0.83364,0.7626,0.84849,0.7328,0.93562,1.26697,1.09721,0.00176735,0.00176735,0.00176735
49,208.521,0.1034,0.11261,0.74241,0.84924,0.73483,0.84755,0.72341,0.95769,1.33168,1.0933,0.0017624,0.0017624,0.0017624
50,212.75,0.09243,0.10553,0.74368,0.90818,0.71739,0.85786,0.74289,0.9177,1.39915,1.0769,0.00175745,0.00175745,0.00175745
51,216.954,0.09029,0.10206,0.74166,0.89112,0.7118,0.86024,0.74531,0.94188,1.46886,1.10104,0.0017525,0.0017525,0.0017525
52,221.2,0.08606,0.10289,0.74011,0.89334,0.72844,0.85363,0.75419,0.90618,1.50514,1.08999,0.00174755,0.00174755,0.00174755
53,225.499,0.0776,0.09513,0.73965,0.89234,0.72078,0.86198,0.76752,0.92321,1.48877,1.08355,0.0017426,0.0017426,0.0017426
54,229.838,0.07865,0.09099,0.74088,0.90062,0.67391,0.84347,0.7466,0.93118,1.55293,1.08403,0.00173765,0.00173765,0.00173765
55,234.053,0.07926,0.09268,0.74088,0.72727,0.86957,0.86005,0.77213,0.91446,1.5476,1.07898,0.0017327,0.0017327,0.0017327
56,238.41,0.08814,0.09943,0.73992,0.71429,0.86957,0.86033,0.76235,0.9257,1.7202,1.07581,0.00172775,0.00172775,0.00172775
57,242.648,0.08553,0.09884,0.74355,0.7037,0.82609,0.83823,0.74536,0.91903,1.82663,1.06673,0.0017228,0.0017228,0.0017228
58,246.928,0.08537,0.09846,0.74111,0.71154,0.80435,0.82382,0.72781,0.92387,1.86102,1.05485,0.00171785,0.00171785,0.00171785
59,251.164,0.09053,0.10429,0.74112,0.89763,0.63043,0.8008,0.69558,0.98441,1.83719,1.08406,0.0017129,0.0017129,0.0017129
60,255.466,0.08465,0.0981,0.74227,0.90743,0.63944,0.8119,0.69885,1.02789,1.81109,1.09924,0.00170795,0.00170795,0.00170795
61,259.703,0.07867,0.09214,0.74191,0.9303,0.63043,0.79003,0.6952,0.98915,1.81901,1.08078,0.001703,0.001703,0.001703
62,263.954,0.06804,0.08559,0.74103,0.88029,0.63959,0.80858,0.69071,0.99278,1.81714,1.08042,0.00169805,0.00169805,0.00169805
